empresa,nome_vaga,localidade,descricao,requisitos,link,data_etl
AMCOM,Pessoa Cientista de Dados Sênior com foco em IA Generativa,Remota,"Somos inspired by tech powered by people. Por isso, precisamos de pessoas apaixonados por desafios e com sede de aprendizado contínuo. Buscamos por novos makers para sonharem com a gente, que enxerguem além do óbvio e que estejam prontos para se juntar a nós nessa jornada de transformação e crescimento. Estamos expandindo nossos horizontes e buscamos pessoas que compartilhem dessa mesma paixão pela tecnologia e pelo aprendizado contínuo. Se você se encaixa nesse perfil, venha fazer parte do noss...","Experiência sólida com Python; | Conhecimento avançado em Machine Learning e NLP; | Experiência prática com LLMs e IA Generativa; | Implementação de arquitetura RAG; | Experiência com bancos vetoriais (FAISS, Pinecone, Weaviate, Chroma ou similares);",https://amcom.inhire.app/vagas/2637bc80-302d-4e04-91f3-0e1dae96a0bb/pessoa-cientista-de-dados-senior-com-foco-em-ia-generativa,2026-03-13 13:40:17
CERC,Cientista de Dados Sênior,Remota,"Como Cientista de Dados na CERC, você vai:  Você pode dar match com nossos desafios tendo:","Formação em Estatística, Física ou cursos correlatos. | Conhecimento emmachine learning, estatística, modelagem preditiva e algoritmos avançados. | Proficiência emPython. | Experiência comengenharia de dados e arquitetura de dados, incluindo pipelines, banco de dados SQL/NoSQL e cloud computing (AWS, GCP ou Azure). | Capacidade de atuar em ambientesdesestruturados, definindo processos e frameworks do zero.",https://cerc.inhire.app/vagas/f72d3aa8-aa5d-401a-b0da-3184e44e20ab/cientista-de-dados-senior,2026-03-13 13:42:21
CERC,Engenheiro de Dados (KYP),Remota,"Como Engenheiro de Dados, você irá: Você pode dar match com nossos desafios tendo: Obrigatório:","Conhecimento avançado em Python, SQL, Spark; | Vivência integração contínua e entrega contínua (CI/CD); | Vivência orquestração de pipelines de dados; | Vivência com metodologia ágil; | Vivência em algum dos serviços de plataformas cloud (GCP, AWS ou Azure)",https://cerc.inhire.app/vagas/bedc42b0-a7fb-475f-a810-2f564675218d/engenheiro-de-dados-kyp,2026-03-13 13:42:29
CIELO,Analista de Dados Júnior | Vaga Exclusiva para PcD | Barueri (SP),Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. Somos um time quesonha no plural, oferecendo uma experiência completa e focando no bem-estar físico e mental de nossos mais de 7.000 colaboradores e suas famílias. Bora realizar seus sonhos com a gente!","Ensino Superior cursando e ou completo; | Domínio de ferramentas de análise Excel; | Conhecimento básico a intermediário em banco de dados (Ex.:SQL); | Aptidão em ferramentas de visualização de dados (Power Bi, Tableu, Looker e etc.); | Conhecimento básico em Python;",https://cielo.inhire.app/vagas/9761dc9b-0af4-4183-8236-da429c90163f/analista-de-dados-junior-or-vaga-exclusiva-para-pcd-or-barueri-sp,2026-03-13 13:42:51
CIELO,Ciência de Dados Sênior com foco em IA,Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. Somos um time quesonha no plural, oferecendo uma experiência completa e focando no bem-estar físico e mental de nossos mais de 7.000 colaboradores e suas famílias. Bora realizar seus sonhos com a gente!","Ensino Superior Completo em Engenharias, Ciência da Computação, Sistema da Informação, Estatísitca, Economia e areas correlatas; | Conhecimentos avançados em linguagens de programação (Ex.: Python, R e etc); | Habilidades avançadas em bancos de dados (Ex.: SQL); | Domínio em desenvolvimento de Machine Learning e modelagens estatísticas; | Domínio em tecnologias de IA generativa e criação de agentes (Pydantic, LangChain, LangGraph, LLMs);",https://cielo.inhire.app/vagas/5f286a66-8571-4d50-9955-fcf61b3f17be/ciencia-de-dados-senior-com-foco-em-ia,2026-03-13 13:43:00
DB1,Analista de Dados Júnior,Presencial," Na DB1, cada linha de código, teste ou insight é uma chance de criar impacto real. Somos movidos pela curiosidade e pelo desejo de transformar problemas complexos em soluções que simplificam a vida das pessoas. Gostamos de experimentar, aprender e inovar, e por isso esse é o lugar para colocar seu talento à prova. Se você combina inteligência com uma vontade incansável de aprender e evoluir, e tem uma postura resiliente moldado por superações, já carrega muito daessência DB1.Aqui, cada desafio ...",Não informado,https://db1.inhire.app/vagas/790fd7ab-c7d7-46ac-aa90-4b56381c7968/analista-de-dados-junior,2026-03-13 13:44:23
GEX,Data View / Analista de Dados,Remota,"O time da GEX é formado por pessoas comGARRA— que aprendem fazendo, se envolvem de verdade com o que entregam e levam o trabalho a sério. Nos esforçamos todos os dias com o propósito de levareducação, saúde e qualidade de vidapara milhares de pessoas no Brasil e no mundo — com responsabilidade, agilidade e um toque humano em tudo o que fazemos. Aqui, valorizamos quempropõe, se envolve e quer crescer com a gente.Se você curte desafios, é comunicativo e busca um time colaborativo e de alta perform...",Experiência sólida comferramentas de BI e visualização de dados | Forte experiência comLooker (GCP) | Conhecimento emPower BIeTableau | Domínio deSQLpara exploração e validação de dados | Capacidade analítica estorytelling com dados,https://gex.inhire.app/vagas/974f67e0-7f6d-47c7-bcda-15756db4145f/data-view-analista-de-dados,2026-03-13 13:45:40
GRUPOESCALAR,Analista de Dados,presencial,"Missão do Cargo: Atuar como pilar de estruturação, controle e melhoria contínua da área de dados, promovendo uma cultura de agilidade, entregas com valor e visão estratégica. Será responsável por organizar os bancos de dados, facilitar as cerimônias ágeis e garantir a qualidade das entregas e da informação. Ser um protagonista na transformação digital. ",Superior em andamento ou completo; | Excel avançado,https://grupoescalar.inhire.app/vagas/101330a9-7ad3-4f8e-aed8-2d9a236eb62c/analista-de-dados,2026-03-13 13:47:08
KPMG,Analista de Dados (Alteryx),Não informado,"Inclusão e respeito à diversidade e equidade fazem parte do DNA da KPMG. Aqui valorizamos todas as pessoas, encorajando e empoderando os nossos profissionais para que se sintam parte das nossas conquistas. Independente da sua idade, gênero, raça, cor, credo, orientação, sexual, etnia, origem nacional ou deficiência, te convidamos a fazer a diferença. Venha fazer parte do time KPMG!","Formação superior em áreas relacionadas à tecnologia (Ciência de Dados, Análise e Desenvolvimento de Sistemas, Engenharia, TI, etc.). | Conhecimento nas ferramentas: Alteryx e Power BI | Noções de Inteligência Artificial e suas aplicações práticas. | Capacidade para trabalhar com diferentes fontes de dados. | Boa comunicação e habilidade para apresentar resultados às áreas de negócio.",https://kpmg.inhire.app/vagas/3853252c-1ee7-46b7-ab25-cd647c322712/analista-de-dados-alteryx,2026-03-13 13:50:13
LIVEMODE,Analista de Dados de Plataformas (IA),Presencial,"Claro, a paixão por esportes é indiscutível, mas também somos grandes amantes de inovação constante! Buscamos soluções digitais que conectem clubes, federações, ligas e marcas ao público de forma eficaz e inovadora. Nosso objetivo é construir um ecossistema que sustente o esporte nas próximas décadas, integrando o melhor do digital e da TV. É assim que estamos fazendo história e queremos encontrar mais pessoas que acreditem no potencial do que estamos construindo e queiram fazer parte disso. Dit...","Experiência prática e comprovada com IAaplicada à análise de dados; | Sólido conhecimento de métricas de redes sociais e da lógica de funcionamento e distribuiçãode conteúdonas principais plataformas (Instagram, TikTok, YouTube, WhatsApp, X); | Perfil analítico com forte orientação por dados,capaz de embasar recomendações em padrões e evidências concretas; | Autonomia para estruturar processos,priorizar entregas e gerar resultado; | Comunicação clara para traduzir análisesem direcionamentos objetivos para times não-técnicos.",https://livemode.inhire.app/vagas/a8ef055b-9501-44a1-b830-c5259ce76924/analista-de-dados-de-plataformas-ia,2026-03-13 13:50:38
