empresa,nome_vaga,localidade,descricao,requisitos,link,data_etl
AMCOM,Pessoa Cientista de Dados Sênior com foco em IA Generativa,Remota,"Somos inspired by tech powered by people. Por isso, precisamos de pessoas apaixonados por desafios e com sede de aprendizado contínuo. Buscamos por novos makers para sonharem com a gente, que enxerguem além do óbvio e que estejam prontos para se juntar a nós nessa jornada de transformação e crescimento. Estamos expandindo nossos horizontes e buscamos pessoas que compartilhem dessa mesma paixão pela tecnologia e pelo aprendizado contínuo. Se você se encaixa nesse perfil, venha fazer parte do noss...","Experiência sólida com Python; | Conhecimento avançado em Machine Learning e NLP; | Experiência prática com LLMs e IA Generativa; | Implementação de arquitetura RAG; | Experiência com bancos vetoriais (FAISS, Pinecone, Weaviate, Chroma ou similares);",https://amcom.inhire.app/vagas/2637bc80-302d-4e04-91f3-0e1dae96a0bb/pessoa-cientista-de-dados-senior-com-foco-em-ia-generativa,2026-03-12 11:39:18
AMCOM,Pessoa Cientista de Dados com IA Especialista,Remota,"Somos inspired by tech powered by people. Por isso, precisamos de pessoas apaixonados por desafios e com sede de aprendizado contínuo. Buscamos por novos makers para sonharem com a gente, que enxerguem além do óbvio e que estejam prontos para se juntar a nós nessa jornada de transformação e crescimento. Estamos expandindo nossos horizontes e buscamos pessoas que compartilhem dessa mesma paixão pela tecnologia e pelo aprendizado contínuo. Se você se encaixa nesse perfil, venha fazer parte do noss...","Experiência comprovada com IA Generativa e Modelos de Linguagem (LLMs); | Experiência no desenvolvimento de chatbots e sistemas conversacionais; | Conhecimento prático em LangChain e LangGraph; | Experiência com Machine Learning, do treinamento ao uso em produção; | Conhecimento em APIs e frameworks para desenvolvimento de serviços, incluindo exposição e integração de sistemas;",https://amcom.inhire.app/vagas/17893ebe-4149-4316-b437-11b78c08304b/pessoa-cientista-de-dados-com-ia-especialista,2026-03-12 11:39:25
AUVOTECNOLOGIA,Analista de Dados - Inteligência Comercial (Remoto),Remoto,"Na Auvo, dados não existem para virar relatório bonito, eles existem paraprovocar decisão, corrigir rota e acelerar crescimento. Estamos buscando uma pessoade Dados – Inteligência Comercialpara estruturar, analisar e transformar dados demarketing, pré-vendas e vendaseminteligência acionável, com forte atuação noHubSpotcomo fonte central de informação. Analisar performance de campanhas, canais e cohorts de aquisição","SQL sólido | Forte raciocínio analítico | Leitura e interpretação de métricas de marketing e vendas (funil, conversão, CAC, LTV, pipeline, churn, retenção) | Experiência prática com CRM (preferencialmenteHubSpot) | Capacidade de estruturar análises de forma autônoma",https://auvotecnologia.inhire.app/vagas/713e134d-5602-4ddb-81e5-7fcbc2c55559/analista-de-dados-inteligencia-comercial-remoto,2026-03-12 11:39:45
CERC,Cientista de Dados Sênior,Remota,"Como Cientista de Dados na CERC, você vai:  Você pode dar match com nossos desafios tendo:","Formação em Estatística, Física ou cursos correlatos. | Conhecimento emmachine learning, estatística, modelagem preditiva e algoritmos avançados. | Proficiência emPython. | Experiência comengenharia de dados e arquitetura de dados, incluindo pipelines, banco de dados SQL/NoSQL e cloud computing (AWS, GCP ou Azure). | Capacidade de atuar em ambientesdesestruturados, definindo processos e frameworks do zero.",https://cerc.inhire.app/vagas/f72d3aa8-aa5d-401a-b0da-3184e44e20ab/cientista-de-dados-senior,2026-03-12 11:40:56
CERC,Engenheiro de Dados (KYP),Remota,"Como Engenheiro de Dados, você irá: Você pode dar match com nossos desafios tendo: Obrigatório:","Conhecimento avançado em Python, SQL, Spark; | Vivência integração contínua e entrega contínua (CI/CD); | Vivência orquestração de pipelines de dados; | Vivência com metodologia ágil; | Vivência em algum dos serviços de plataformas cloud (GCP, AWS ou Azure)",https://cerc.inhire.app/vagas/bedc42b0-a7fb-475f-a810-2f564675218d/engenheiro-de-dados-kyp,2026-03-12 11:41:03
CIELO,Analista de Dados Júnior | Vaga Exclusiva para PcD | Barueri (SP),Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. Somos um time quesonha no plural, oferecendo uma experiência completa e focando no bem-estar físico e mental de nossos mais de 7.000 colaboradores e suas famílias. Bora realizar seus sonhos com a gente!","Ensino Superior cursando e ou completo; | Domínio de ferramentas de análise Excel; | Conhecimento básico a intermediário em banco de dados (Ex.:SQL); | Aptidão em ferramentas de visualização de dados (Power Bi, Tableu, Looker e etc.); | Conhecimento básico em Python;",https://cielo.inhire.app/vagas/9761dc9b-0af4-4183-8236-da429c90163f/analista-de-dados-junior-or-vaga-exclusiva-para-pcd-or-barueri-sp,2026-03-12 11:41:22
CIELO,Coordenador (a) de Estratégia e Dados,Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Trabalhamos parasimplificar e impulsionar negócios para todas as pessoas,oferecendo soluções financeiras inteligentes. Aqui, investimos emtecnologia, promovemosdesenvolvimentoe fomentamos ainovaçãopara criar caminhos possíveis e gerar impacto positivo no mundo. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. So...","Ensino Superior Completo em  ADM, Finanças, Economia e/ ou afins; | Pós graduação completa em ADM., Finanças, Ciencias Contabeis, Eng. e/ou afins; | Sólida experiência em Finanças, Planejamento e/ou Estratégia; | Ser orientado a resultado, buscando sempre a melhoria dos processos existentes; | Excel e PowePoint avançado;",https://cielo.inhire.app/vagas/1d846478-6242-41fd-b2d7-4f0c90e48552/coordenador-a-de-estrategia-e-dados,2026-03-12 11:42:02
GEX,Data View / Analista de Dados,Remota,"O time da GEX é formado por pessoas comGARRA— que aprendem fazendo, se envolvem de verdade com o que entregam e levam o trabalho a sério. Nos esforçamos todos os dias com o propósito de levareducação, saúde e qualidade de vidapara milhares de pessoas no Brasil e no mundo — com responsabilidade, agilidade e um toque humano em tudo o que fazemos. Aqui, valorizamos quempropõe, se envolve e quer crescer com a gente.Se você curte desafios, é comunicativo e busca um time colaborativo e de alta perform...",Experiência sólida comferramentas de BI e visualização de dados | Forte experiência comLooker (GCP) | Conhecimento emPower BIeTableau | Domínio deSQLpara exploração e validação de dados | Capacidade analítica estorytelling com dados,https://gex.inhire.app/vagas/974f67e0-7f6d-47c7-bcda-15756db4145f/data-view-analista-de-dados,2026-03-12 11:44:16
GEX,Engenheiro(a) de Dados,Remota,"O time da GEX é formado por pessoas comGARRA— que aprendem fazendo, se envolvem de verdade com o que entregam e levam o trabalho a sério. Nos esforçamos todos os dias com o propósito de levareducação, saúde e qualidade de vidapara milhares de pessoas no Brasil e no mundo — com responsabilidade, agilidade e um toque humano em tudo o que fazemos. Valorizamos quempropõe, constrói e quer crescer com a gente.Se você curte desafios técnicos, autonomia e um time colaborativo de alta performance,essa va...","Experiência sólida comengenharia de dados e construção de pipelines | Domínio deSQLemodelagem de dados | Experiência comPython aplicado a dados e automação | Vivência comserviços AWSvoltados a dados e integração | Experiência com ferramentas de orquestração(n8n, Airflow, Dagster ou Prefect)",https://gex.inhire.app/vagas/e4a00f1b-2daa-4ff7-b73c-622744ca23ce/engenheiroa-de-dados,2026-03-12 11:44:57
GRUPOESCALAR,Analista de Dados,presencial,"Missão do Cargo: Atuar como pilar de estruturação, controle e melhoria contínua da área de dados, promovendo uma cultura de agilidade, entregas com valor e visão estratégica. Será responsável por organizar os bancos de dados, facilitar as cerimônias ágeis e garantir a qualidade das entregas e da informação. Ser um protagonista na transformação digital. ",Superior em andamento ou completo; | Excel avançado,https://grupoescalar.inhire.app/vagas/101330a9-7ad3-4f8e-aed8-2d9a236eb62c/analista-de-dados,2026-03-12 11:45:16
